# time(s),voltage(V),current(A)
20.599860,0.994598,0.000004756
20.703964,0.994659,0.000004733
20.808299,0.994735,0.000004758
20.911988,0.994766,0.000004769
21.016398,0.994721,0.000004755
21.120209,0.994308,0.000004744
21.223710,0.994583,0.000004750
21.326948,0.994537,0.000004763
21.430917,0.994476,0.000004772
21.535254,0.994690,0.000004757
21.639107,0.994674,0.000004730
21.742577,0.994492,0.000004765
21.846737,0.994156,0.000004785
21.950337,0.993255,0.000004757
22.053345,0.994445,0.000004744
22.157490,0.994552,0.000004754
22.261249,0.994721,0.000004763
22.364103,0.994507,0.000004773
22.468228,0.994721,0.000004756
22.572213,0.994461,0.000004731
22.675993,0.994628,0.000004764
22.780191,0.994659,0.000004782
22.884907,0.994903,0.000004756
22.988867,0.994568,0.000004728
23.092764,0.994797,0.000004763
23.196766,0.995010,0.000004780
23.300781,0.995071,0.000004756
23.404892,0.994721,0.000004730
23.508637,0.994690,0.000004757
23.612389,0.994628,0.000004763
23.715098,0.994461,0.000004778
23.818041,0.995163,0.000004756
23.922673,0.994201,0.000004724
24.026187,0.994980,0.000004760
24.130141,0.994400,0.000004779
24.234002,0.994857,0.000004756
24.337913,0.994278,0.000004710
24.441695,0.994598,0.000004755
24.545677,0.994842,0.000004762
24.649385,0.995208,0.000004756
24.753551,0.994781,0.000004755
24.857330,0.994690,0.000004753
24.961790,0.994583,0.000004764
25.065283,0.994293,0.000004764
25.169185,0.994705,0.000004756
25.272992,0.994461,0.000004733
25.377338,0.994614,0.000004766
25.480871,0.994690,0.000004789
25.584783,0.995148,0.000004756
25.688714,0.994583,0.000004733
25.792466,0.994659,0.000004759
25.899891,0.994079,0.000004755
26.005479,0.993271,0.000004733
26.109864,0.994705,0.000004759
26.213242,0.994980,0.000004706
26.317320,0.994568,0.000004755
26.421518,0.994781,0.000004742
26.524982,0.994476,0.000004753
26.629073,0.994628,0.000004762
26.732889,0.994705,0.000004756
26.836719,0.994812,0.000004756
26.940658,0.994980,0.000004747
27.044769,0.994644,0.000004765
27.148472,0.994614,0.000004776
27.252379,0.994812,0.000004755
27.356290,0.994659,0.000004723
27.460166,0.994964,0.000004758
27.564278,0.994445,0.000004780
27.668219,0.995026,0.000004755
27.772159,0.994750,0.000004721
27.875953,0.994339,0.000004755
27.979947,0.994461,0.000004762
28.084260,0.994842,0.000004756
28.188011,0.994857,0.000004752
28.291887,0.994690,0.000004753
28.395868,0.994721,0.000004762
28.499692,0.994873,0.000004757
28.603753,0.995071,0.000004756
28.707611,0.994400,0.000004747
28.811336,0.994476,0.000004764
28.915303,0.994644,0.000004780
29.018202,0.994614,0.000004756
29.122642,0.994964,0.000004717
29.226157,0.994568,0.000004756
29.330090,0.994659,0.000004762
29.434066,0.994766,0.000004756
29.537922,0.994735,0.000004754
29.641869,0.994354,0.000004751
29.745733,0.994476,0.000004762
29.849720,0.994583,0.000004760
29.953533,0.994507,0.000004756
30.057575,0.993652,0.000004737
30.161702,0.994781,0.000004766
30.265311,0.994492,0.000004784
30.369317,0.994628,0.000004754
30.473174,0.994461,0.000004733
30.577391,0.994934,0.000004759
30.681112,0.994415,0.000004784
30.784950,0.994659,0.000004755
30.888873,0.994461,0.000004714
30.992698,0.994903,0.000004754
31.096841,0.994628,0.000004761
31.200739,0.994995,0.000004755
31.304533,0.994995,0.000004754
31.408492,0.994873,0.000004752
31.512636,0.995758,0.000004762
31.616821,0.993774,0.000004763
31.720381,0.994750,0.000004756
31.824476,0.994339,0.000004735
31.928436,0.994812,0.000004765
32.032261,0.994400,0.000004785
32.136064,0.994521,0.000004755
32.240469,0.994568,0.000004732
32.344155,0.994781,0.000004758
32.447865,0.994628,0.000004684
32.551702,0.994476,0.000004755
32.655754,0.994324,0.000004731
32.759664,0.994735,0.000004753
32.863500,0.994659,0.000004762
32.967474,0.994583,0.000004755
33.071398,0.994644,0.000004755
33.175428,0.994430,0.000004751
33.279923,0.994614,0.000004762
33.383266,0.994232,0.000004767
33.487353,0.994842,0.000004756
33.591340,0.994690,0.000004733
33.695433,0.994812,0.000004766
33.799184,0.994614,0.000004787
33.903035,0.994537,0.000004755
34.006966,0.994110,0.000004731
34.110877,0.994232,0.000004758
34.214693,0.994445,0.000004770
34.318924,0.994521,0.000004754
34.422675,0.994492,0.000004735
34.526232,0.994659,0.000004749
34.633115,0.994140,0.000004787
34.736255,0.994339,0.000004754
34.839248,0.994354,0.000004733
34.943136,0.994247,0.000004749
35.045915,0.994644,0.000004765
35.149150,0.994797,0.000004786
35.253230,0.994705,0.000004755
35.357401,0.994628,0.000004733
35.460734,0.994659,0.000004752
35.563855,0.994919,0.000004761
35.667892,0.994369,0.000004755
35.771888,0.994721,0.000004754
35.875755,0.994415,0.000004750
35.979794,0.994690,0.000004762
36.083761,0.994705,0.000004766
36.187565,0.994827,0.000004755
36.291501,0.994980,0.000004732
36.395777,0.994415,0.000004765
36.499484,0.994598,0.000004787
36.603450,0.994674,0.000004755
36.707862,0.993347,0.000004731
36.811155,0.994552,0.000004758
36.915358,0.994537,0.000004668
37.019225,0.994476,0.000004754
37.123606,0.994583,0.000004724
37.227226,0.994293,0.000004753
37.331240,0.994750,0.000004762
37.435554,0.994659,0.000004755
37.539139,0.994949,0.000004753
37.642724,0.994400,0.000004750
37.746761,0.995026,0.000004762
37.850485,0.994903,0.000004761
37.951647,0.994644,0.000004755
38.055540,0.994659,0.000004755
38.159605,0.994644,0.000004749
38.263568,0.994964,0.000004762
38.367403,0.994369,0.000004769
38.471878,0.995102,0.000004754
38.575361,0.994766,0.000004730
38.679367,0.994644,0.000004763
38.782861,0.994750,0.000004769
38.885754,0.994750,0.000004754
38.988736,0.995270,0.000004754
39.091693,0.994949,0.000004725
39.195718,0.994903,0.000004760
39.299693,0.994964,0.000004778
39.403501,0.994735,0.000004755
39.507868,0.994705,0.000004726
39.611434,0.993744,0.000004755
39.715264,0.994949,0.000004761
39.819178,0.994293,0.000004755
39.922038,0.994659,0.000004755
40.026253,0.994721,0.000004742
40.130110,0.994721,0.000004763
40.234254,0.994797,0.000004778
40.337992,0.994797,0.000004754
40.441887,0.994507,0.000004723
40.546124,0.994445,0.000004759
40.649632,0.994369,0.000004778
40.753664,0.994873,0.000004754
40.857446,0.992782,0.000004708
40.961390,0.994598,0.000004754
41.065321,0.994583,0.000004761
41.169513,0.994614,0.000004754
41.273082,0.994614,0.000004753
41.377103,0.994537,0.000004750
41.480994,0.994812,0.000004762
41.585178,0.994644,0.000004767
41.688508,0.994995,0.000004755
41.792584,0.994628,0.000004730
41.896781,0.994644,0.000004764
42.000153,0.995361,0.000004738
42.103587,0.994247,0.000004754
42.207273,0.994674,0.000004745
42.311349,0.994278,0.000004751
42.415183,0.994797,0.000004761
42.519264,0.994797,0.000004754
42.623073,0.994919,0.000004754
42.726893,0.994674,0.000004746
42.830780,0.994507,0.000004761
42.934521,0.994507,0.000004774
43.038395,0.994919,0.000004754
43.141227,0.995117,0.000004751
43.244211,0.995682,0.000004741
43.347032,0.993668,0.000004758
43.450225,0.994308,0.000004778
43.554111,0.994598,0.000004754
43.657898,0.994644,0.000004752
43.761254,0.994568,0.000004751
43.864946,0.994430,0.000004762
43.968844,0.994201,0.000004757
44.072606,0.994842,0.000004753
44.175454,0.994186,0.000004721
44.278486,0.994156,0.000004753
44.382408,0.994568,0.000004762
44.485160,0.993500,0.000004768
44.589109,0.994857,0.000004753
44.692141,0.994476,0.000004738
44.795101,0.994781,0.000004752
44.899110,0.994781,0.000004761
45.003262,0.994674,0.000004754
45.106858,0.994781,0.000004754
45.209752,0.994400,0.000004730
45.312687,0.994659,0.000004755
45.416853,0.994857,0.000004762
45.520621,0.994644,0.000004753
45.624487,0.994659,0.000004753
45.727617,0.994690,0.000004748
45.831288,0.994842,0.000004761
45.935548,0.994568,0.000004774
46.039675,0.993881,0.000004754
46.143164,0.994094,0.000004726
46.247149,0.994232,0.000004754
46.349911,0.994995,0.000004761
46.453013,0.994614,0.000004774
46.555950,0.994827,0.000004753
46.658977,0.994980,0.000004751
46.762627,0.994705,0.000004750
46.866479,0.994827,0.000004761
46.970366,0.994721,0.000004755
47.073786,0.994812,0.000004754
47.177869,0.994614,0.000004738
47.283217,0.994797,0.000004761
47.390614,0.994690,0.000004753
47.494244,0.994430,0.000004724
47.597019,0.994324,0.000004753
47.700117,0.994705,0.000004760
47.804055,0.994476,0.000004753
47.908065,0.994369,0.000004752
48.011893,0.994094,0.000004750
48.115707,0.994461,0.000004763
48.218635,0.994308,0.000004782
48.321529,0.994430,0.000004752
48.425530,0.994797,0.000004752
48.528558,0.994476,0.000004750
48.632606,0.994766,0.000004761
48.736471,0.994721,0.000004763
48.840948,0.994628,0.000004755
48.944385,0.993972,0.000004732
49.048176,0.994445,0.000004758
49.151100,0.994476,0.000004761
49.253946,0.994171,0.000004761
49.356934,0.994705,0.000004754
49.459911,0.994140,0.000004728
49.562972,0.994568,0.000004752
49.667060,0.994750,0.000004760
49.770712,0.994705,0.000004766
49.873897,0.994492,0.000004754
