# time(s),voltage(V),current(A),cycle_num,exp_num,voltage_applied(V)
242514.747917,-0.255574,0.000001649,0,0,-0.249909
245014.899957,-0.255681,0.000003213,0,0,-0.250310
247515.051998,-0.255146,-0.000000568,0,0,-0.250711
250015.204038,-0.255497,-0.000000091,0,0,-0.251111
252515.356079,-0.255833,0.000003152,0,0,-0.251512
255015.508119,-0.257084,0.000000601,0,0,-0.251913
257515.660159,-0.257740,-0.000000857,0,0,-0.252314
260015.812200,-0.257283,-0.000000407,0,0,-0.252714
262515.964240,-0.258030,0.000004356,0,0,-0.253115
265016.116280,-0.257451,0.000000279,0,0,-0.253516
267516.268321,-0.257801,0.000001926,0,0,-0.253917
270016.420361,-0.259861,-0.000000889,0,0,-0.254318
272516.572402,-0.259693,-0.000000220,0,0,-0.254718
275016.724442,-0.259663,0.000000457,0,0,-0.255119
277516.876482,-0.260288,0.000004773,0,0,-0.255520
280017.028523,-0.259556,-0.000002525,0,0,-0.255921
282517.180563,-0.259617,-0.000004672,0,0,-0.256322
285017.332604,-0.262379,0.000005000,0,0,-0.256722
287517.484644,-0.263081,0.000004781,0,0,-0.257123
290017.636684,-0.262120,-0.000001433,0,0,-0.257524
292517.788725,-0.262059,-0.000004500,0,0,-0.257925
295017.940765,-0.262715,0.000005000,0,0,-0.258326
297518.092805,-0.262684,0.000004774,0,0,-0.258726
300018.244846,-0.264424,-0.000000797,0,0,-0.259127
302518.396886,-0.264775,-0.000000189,0,0,-0.259528
305018.548927,-0.265477,0.000001666,0,0,-0.259929
307518.700967,-0.265019,0.000002658,0,0,-0.260329
310018.853007,-0.265156,-0.000000557,0,0,-0.260730
312519.005048,-0.265080,-0.000000128,0,0,-0.261131
315019.157088,-0.267338,0.000003111,0,0,-0.261532
317519.309129,-0.267033,0.000000571,0,0,-0.261933
320019.461169,-0.267369,-0.000000998,0,0,-0.262333
322519.613209,-0.267232,-0.000000447,0,0,-0.262734
325019.765250,-0.267643,0.000004437,0,0,-0.263135
327519.917290,-0.266804,0.000000290,0,0,-0.263536
330020.069330,-0.269139,0.000001993,0,0,-0.263937
332520.221371,-0.269352,-0.000000911,0,0,-0.264337
335020.373411,-0.269673,-0.000000764,0,0,-0.264738
337520.525452,-0.269474,0.000000479,0,0,-0.265139
340020.677492,-0.269673,0.000004781,0,0,-0.265540
342520.829532,-0.269551,-0.000002562,0,0,-0.265940
345020.981573,-0.271214,-0.000004665,0,0,-0.266341
347521.133613,-0.272496,0.000005000,0,0,-0.266742
