# time(s),voltage(V),current(A)
20.665717,3.637675,0.000004610
20.770117,3.111406,0.000004611
20.873705,2.623605,0.000004613
20.977336,3.173571,0.000004611
21.081369,3.689997,0.000004610
21.185445,3.092729,0.000004611
21.289508,2.287877,0.000004614
21.393628,3.085038,0.000004610
21.497585,3.226871,0.000004610
21.601221,3.106462,0.000004611
21.705310,3.082551,0.000004611
21.809448,3.046082,0.000004611
21.913233,3.241871,0.000004610
22.017013,3.207721,0.000004610
22.121041,3.112184,0.000004611
22.224846,2.720821,0.000004612
22.328478,3.028656,0.000004611
22.429414,3.080705,0.000004611
22.530431,3.226856,0.000004610
22.634627,3.106279,0.000004611
22.738684,3.087419,0.000004610
22.842981,3.040344,0.000004611
22.946517,3.239139,0.000004610
23.050621,3.152117,0.000004610
23.154650,3.114534,0.000004611
23.258136,2.767254,0.000004613
23.362332,3.277699,0.000004610
23.465918,3.548104,0.000004610
23.570106,3.098741,0.000004611
23.674475,2.650888,0.000004613
23.778090,3.186694,0.000004611
23.882289,3.503532,0.000004610
23.985984,3.112520,0.000004611
24.090022,2.185549,0.000004615
24.194010,3.097612,0.000004611
24.298040,3.219516,0.000004610
24.401764,3.105592,0.000004611
24.505640,3.064210,0.000004611
24.609476,3.052796,0.000004611
24.713741,3.229358,0.000004610
24.817786,3.124559,0.000004611
24.921804,3.103609,0.000004611
25.025513,2.991043,0.000004611
25.129825,3.243595,0.000004610
25.233498,3.394522,0.000004610
25.337714,3.110689,0.000004611
25.441518,2.562981,0.000004614
25.545470,3.262882,0.000004611
25.649505,3.569283,0.000004610
25.753382,3.109010,0.000004611
25.857335,2.655375,0.000004613
25.961804,3.173281,0.000004610
26.065332,3.568978,0.000004610
26.169170,3.097917,0.000004611
26.273166,2.625467,0.000004612
26.377233,3.079530,0.000004611
26.481547,3.226764,0.000004610
26.585282,3.105012,0.000004611
26.688805,3.090180,0.000004611
26.793115,3.036850,0.000004611
26.897069,3.239506,0.000004611
27.001707,3.105303,0.000004610
27.105964,3.085695,0.000004611
27.209835,3.041047,0.000004611
27.313776,3.239643,0.000004611
27.418007,3.151659,0.000004610
27.521854,3.112444,0.000004611
27.625798,2.733333,0.000004613
27.729803,3.270893,0.000004610
27.833631,3.520760,0.000004610
27.937656,3.096788,0.000004611
28.041668,2.643900,0.000004612
28.145152,3.091722,0.000004611
28.248124,3.225665,0.000004610
28.352442,3.100786,0.000004610
28.456026,3.085114,0.000004610
28.560227,3.043366,0.000004611
